Time (s),X (mm)
0.467,289.2514
0.475,288.9402
0.484,288.9402
0.492,288.9402
0.5,288.9402
0.509,288.6291
0.517,288.6291
0.525,288.3179
0.534,288.0067
0.542,287.6956
0.55,287.3844
0.559,286.7621
0.567,286.7621
0.575,286.4509
0.584,286.1398
0.592,285.8286
0.6,285.5174
0.609,285.2063
0.617,284.8951
0.625,284.584
0.634,283.6505
0.642,283.0282
0.65,282.0947
0.659,280.5389
0.667,279.6054
0.675,278.6719
0.684,276.4938
0.692,275.5603
0.7,274.0045
0.709,272.7598
0.717,270.5817
0.725,269.0259
0.734,267.4701
0.742,264.9808
0.75,263.1138
0.759,261.8692
0.767,259.3799
0.775,257.5129
0.784,255.3348
0.792,253.1567
0.8,250.6674
0.809,248.8004
0.817,246.6223
0.825,243.8218
0.834,242.5772
0.842,239.4655
0.85,237.5986
0.859,235.4204
0.867,233.2423
0.875,231.0642
0.884,229.1972
0.892,227.0191
0.9,224.841
0.909,222.3517
0.917,220.1735
0.925,218.3066
0.934,215.8173
0.942,213.6391
0.95,211.461
0.959,209.594
0.967,207.4159
0.975,205.5489
0.984,203.682
0.992,202.1262
1,199.6369
1.009,198.7034
1.017,196.5253
1.025,194.9694
1.034,193.1025
1.042,191.5467
1.05,189.9909
1.059,188.7462
1.067,186.8792
1.075,185.6346
1.084,184.39
1.092,182.8341
1.1,181.5895
1.109,180.656
1.117,179.4114
1.125,178.789
1.134,177.8556
1.142,176.9221
1.15,175.9886
1.159,175.3663
1.167,174.7439
1.175,174.1216
1.184,173.1881
1.192,173.1881
1.2,172.877
1.209,172.877
1.217,172.5658
1.225,172.5658
1.234,172.2547
1.242,172.5658
1.25,172.877
1.259,173.1881
1.267,173.1881
1.275,173.8105
1.284,173.8105
1.292,174.4328
1.3,175.3663
1.309,175.6774
1.317,175.6774
1.325,176.6109
1.334,177.2332
1.342,178.1667
1.351,178.789
1.359,179.7225
1.368,180.9672
1.376,181.9007
1.384,183.1453
1.393,184.39
1.401,185.3234
1.409,186.2569
1.418,187.5016
1.426,189.0574
1.434,189.6797
1.443,190.6132
1.451,192.169
1.459,193.4136
1.468,194.9694
1.476,196.5253
1.484,197.4587
1.493,199.0145
1.501,199.948
1.509,201.5038
1.518,202.7485
1.526,204.3043
1.534,205.2378
1.543,206.1713
1.551,207.7271
1.559,208.9717
1.568,210.5275
1.576,212.0833
1.584,213.6391
1.593,214.5726
1.601,216.1284
1.609,217.9954
1.618,219.24
1.626,220.7959
1.634,221.7293
1.643,222.974
1.651,223.9075
1.659,224.5298
1.668,225.4633
1.676,226.7079
1.684,228.5749
1.693,229.5084
1.701,230.1307
1.709,231.0642
1.718,232.3088
1.726,232.9312
1.734,233.2423
1.743,234.1758
1.751,234.7981
1.759,236.0428
1.768,237.2874
1.776,237.5986
1.784,238.2209
1.793,238.5321
1.801,239.4655
1.809,239.7767
1.818,240.0879
1.826,240.7102
1.834,240.7102
1.843,241.0214
1.851,241.6437
1.859,241.9548
1.868,241.9548
1.876,242.266
1.884,242.266
1.893,242.5772
1.901,242.8883
1.909,243.1995
1.918,242.8883
1.926,242.5772
1.934,242.266
1.943,241.6437
1.951,241.3325
1.959,241.0214
1.968,240.7102
1.976,240.399
1.984,239.7767
1.993,239.1544
2.001,238.8432
2.009,238.5321
2.018,237.9097
2.026,237.2874
2.034,236.6651
2.043,236.0428
2.051,235.1093
2.059,234.487
2.068,233.5535
2.076,232.9312
2.084,231.9977
2.093,231.3753
2.101,230.753
2.109,229.8195
2.118,228.5749
2.126,227.6414
2.134,226.7079
2.143,225.7744
2.151,224.841
2.159,223.9075
2.168,223.2851
2.176,222.6628
2.184,221.7293
2.193,221.107
2.201,219.8624
2.209,219.24
2.218,217.9954
2.226,216.7508
2.234,215.8173
2.243,215.1949
2.251,214.2615
2.26,213.328
2.268,212.7057
2.276,211.461
2.285,210.2164
2.293,208.9717
2.301,208.3494
2.31,207.7271
2.318,206.7936
2.326,205.8601
2.335,205.5489
2.343,204.9266
2.351,203.9931
2.36,203.0596
2.368,201.815
2.376,201.5038
2.385,200.2592
2.393,199.6369
2.401,199.3257
2.41,199.0145
2.418,198.0811
2.426,197.1476
2.435,196.5253
2.443,196.2141
2.451,195.5918
2.46,194.9694
2.468,194.6583
2.476,194.3471
2.485,194.036
2.493,193.7248
2.501,193.4136
2.51,193.4136
2.518,193.7248
2.526,194.036
2.535,194.3471
2.543,194.3471
2.551,194.6583
2.56,194.6583
2.568,194.9694
2.576,194.9694
2.585,194.9694
2.593,195.2806
2.601,195.5918
2.61,195.9029
2.618,196.2141
2.626,196.8364
2.635,196.8364
2.643,196.8364
2.651,197.4587
2.66,197.7699
2.668,198.3922
2.676,198.7034
2.685,199.0145
2.693,199.3257
2.701,199.6369
2.71,199.948
2.718,200.5704
2.726,201.1927
